video_id,trending_date,channel_title,category_id,publish_time,views,likes,dislikes,comment_count,comments_disabled,ratings_disabled,category_name
2kyS6SvSYSE,14-11-17,CaseyNeistat,22,13-11-17 17:13,748374,57527,2966,15954,0,0,People & Blogs
1ZAPwfrtAFY,14-11-17,LastWeekTonight,24,13-11-17 7:30,2418783,97185,6146,12703,0,0,Entertainment
5qpjK5DgCt4,14-11-17,Rudy Mancuso,23,12-11-17 19:05,3191434,146033,5339,8181,0,0,Comedy
puqaWrEC7tY,14-11-17,Good Mythical Morning,24,13-11-17 11:00,343168,10172,666,2146,0,0,Entertainment
d380meD0W0M,14-11-17,nigahiga,24,12-11-17 18:01,2095731,132235,1989,17518,0,0,Entertainment
gHZ1Qz0KiKM,14-11-17,iJustine,28,13-11-17 19:07,119180,9763,511,1434,0,0,Science & Technology
39idVpFF7NQ,14-11-17,Saturday Night Live,24,12-11-17 5:37,2103417,15993,2445,1970,0,0,Entertainment
nc99ccSXST0,14-11-17,CrazyRussianHacker,28,12-11-17 21:50,817732,23663,778,3432,0,0,Science & Technology
jr9QtXwC9vc,14-11-17,20th Century Fox,1,13-11-17 14:00,826059,3543,119,340,0,0,Film & Animation
TUmyygCMMGA,14-11-17,Vox,25,13-11-17 13:45,256426,12654,1363,2368,0,0,News & Politics
9wRQljFNDW8,14-11-17,NFL,17,13-11-17 2:05,81377,655,25,177,0,0,Sports
VifQlJit6A0,14-11-17,amc,24,13-11-17 3:00,104578,1576,303,1279,0,0,Entertainment
5E4ZBSInqUU,14-11-17,marshmello,10,13-11-17 17:00,687582,114188,1333,8371,0,0,Music
GgVmn66oK_A,14-11-17,NowThis World,25,12-11-17 14:00,544770,7848,1171,3981,0,0,News & Politics
TaTleo4cOs8,14-11-17,The king of DIY,15,12-11-17 18:30,207532,7473,246,2120,0,0,Pets & Animals
kgaO45SyaO4,14-11-17,BostonDynamics,28,13-11-17 20:09,75752,9419,52,1230,0,0,Science & Technology
ZAQs-ctOqXQ,14-11-17,Cracked,23,12-11-17 17:00,295639,8011,638,1256,0,0,Comedy
